Date, Open, High, Low, Close, Volume
09/11/19, 274.15, 275.84, 273.50, 275.84, 2080323
09/10/19, 273.11, 273.88, 271.87, 273.87, 1870384
09/09/19, 274.80, 274.825, 272.96, 273.81, 2158794
09/06/19, 273.93, 274.39, 273.19, 273.74, 1890921
09/05/19, 272.57, 274.44, 272.46, 273.54, 1756746
09/04/19, 269.25, 270.06, 268.4812, 269.97, 1486534
09/03/19, 266.83, 267.80, 265.68, 267.11, 3370402
08/30/19, 270.15, 270.215, 267.6609, 268.60, 4209570
08/29/19, 267.91, 269.23, 266.90, 268.71, 3129402
08/28/19, 262.73, 265.45, 262.00, 265.26, 3124885
08/27/19, 265.92, 266.26, 262.71, 263.43, 2491178
08/26/19, 263.81, 264.47, 262.27, 264.47, 2272271
08/23/19, 267.19, 268.84, 260.33, 261.57, 4216363
08/22/19, 269.28, 269.9104, 266.70, 268.46, 1886585
08/21/19, 268.58, 268.9289, 267.92, 268.56, 2012417
08/20/19, 267.98, 268.49, 266.29, 266.40, 1865144
08/19/19, 268.36, 269.14, 267.6415, 268.48, 1431401
08/16/19, 263.07, 265.68, 263.02, 265.22, 2433959
08/15/19, 261.62, 262.27, 259.34, 261.39, 2783321
08/14/19, 264.56, 265.15, 260.57, 260.57, 4354779
08/13/19, 264.22, 270.10, 263.91, 268.66, 3405324
08/12/19, 266.24, 266.79, 263.565, 264.56, 2104466
08/09/19, 268.72, 269.29, 266.00, 267.70, 2616286
08/08/19, 266.00, 269.59, 265.40, 269.58, 3618814
08/07/19, 261.16, 265.2299, 258.9901, 264.42, 4261217
08/06/19, 262.53, 264.47, 261.055, 264.24, 4366766
08/05/19, 264.57, 264.68, 258.70, 260.88, 7354009
08/02/19, 269.89, 270.08, 267.15, 268.81, 5310356
08/01/19, 273.28, 276.28, 269.94, 270.79, 6920969
07/31/19, 276.39, 276.61, 271.07, 273.08, 4910040
07/30/19, 275.45, 276.56, 275.04, 276.21, 1751061
07/29/19, 277.23, 277.27, 276.26, 276.88, 2925862
07/26/19, 276.20, 277.55, 276.10, 277.38, 1796961
07/25/19, 276.41, 276.41, 274.68, 275.41, 1874216
07/24/19, 274.78, 276.79, 274.67, 276.76, 1669885
07/23/19, 274.71, 275.50, 273.89, 275.49, 1752997
07/22/19, 273.32, 274.11, 272.79, 273.61, 1304991
07/19/19, 275.52, 275.54, 272.70, 272.95, 2319545
07/18/19, 272.91, 274.79, 272.47, 274.42, 3464704
07/17/19, 275.28, 275.40, 273.42, 273.42, 1758128
07/16/19, 276.12, 276.265, 274.99, 275.28, 1564200
07/15/19, 276.53, 276.55, 275.71, 276.18, 1466344
07/12/19, 275.39, 276.19, 275.06, 276.11, 2932354
07/11/19, 274.87, 275.11, 273.85, 274.76, 2249449
07/10/19, 274.02, 275.19, 273.46, 274.21, 2853620
07/09/19, 271.40, 273.22, 271.34, 272.94, 2532925
07/08/19, 272.79, 273.06, 272.03, 272.60, 3131845
07/05/19, 273.14, 274.25, 271.86, 273.97, 3362535
07/03/19, 272.91, 274.37, 272.76, 274.32, 2335798
07/02/19, 271.47, 272.25, 270.62, 272.23, 3041654
07/01/19, 272.46, 272.6501, 270.30, 271.44, 4505600
06/28/19, 268.70, 269.55, 268.18, 269.15, 2883271
06/27/19, 267.49, 268.19, 267.1702, 267.67, 2054580
06/26/19, 269.30, 269.82, 268.02, 268.12, 2988721
06/25/19, 271.10, 271.13, 268.27, 268.38, 2287082
06/24/19, 271.59, 271.9207, 270.90, 271.06, 3518370
06/21/19, 271.53, 272.79, 271.17, 271.41, 2225992
06/20/19, 271.94, 272.19, 269.73, 271.73, 3288090
06/19/19, 268.74, 269.72, 267.76, 269.22, 1684486
06/18/19, 267.65, 269.66, 267.30, 268.51, 2340697
06/17/19, 265.94, 266.56, 265.62, 265.86, 1782613
06/14/19, 265.71, 266.29, 264.91, 265.62, 1203356
06/13/19, 265.82, 266.36, 265.11, 266.02, 1813685
06/12/19, 265.12, 265.70, 264.355, 264.84, 1712276
06/11/19, 267.25, 267.65, 264.69, 265.34, 1894531
06/10/19, 265.76, 267.10, 265.30, 265.39, 2846143
06/07/19, 262.62, 265.29, 262.45, 264.15, 1877426
06/06/19, 260.17, 262.255, 259.5101, 261.54, 2277840
06/05/19, 259.24, 259.88, 257.42, 259.85, 2646522
06/04/19, 254.48, 257.76, 254.03, 257.67, 3536293
06/03/19, 252.83, 253.9597, 250.77, 252.12, 3825614
05/31/19, 253.63, 254.49, 252.77, 252.87, 3698782
05/30/19, 256.28, 257.18, 255.14, 256.30, 2977192
05/29/19, 256.13, 256.525, 254.1003, 255.59, 4593562
05/28/19, 259.96, 260.96, 257.29, 257.36, 2566079
05/24/19, 260.595, 260.99, 259.06, 259.69, 1833053
05/23/19, 260.08, 260.10, 257.68, 259.24, 3813201
05/22/19, 262.12, 263.29, 261.87, 262.31, 3421502
05/21/19, 262.50, 263.51, 262.25, 263.03, 2760813
05/20/19, 260.90, 262.1106, 260.02, 260.82, 2762623
05/17/19, 261.89, 265.02, 261.86, 262.61, 2719513
05/16/19, 262.47, 265.60, 262.45, 264.21, 3221513
05/15/19, 258.63, 262.45, 258.40, 261.81, 2444406
05/14/19, 258.99, 261.82, 258.84, 260.27, 4702647
05/13/19, 259.37, 260.34, 257.07, 258.03, 5548217
05/10/19, 262.37, 265.38, 259.2732, 264.52, 3132036
05/09/19, 261.94, 263.84, 260.20, 263.29, 3094808
05/08/19, 264.14, 265.82, 263.47, 264.10, 2662696
05/07/19, 266.48, 267.08, 262.48, 264.62, 4752538
05/06/19, 265.65, 269.36, 265.31, 268.98, 3966927
05/03/19, 268.92, 270.32, 268.70, 270.05, 1969316
05/02/19, 267.88, 268.80, 265.93, 267.51, 3009045
05/01/19, 270.68, 270.865, 268.00, 268.04, 2669356
04/30/19, 269.56, 270.31, 268.11, 270.01, 2024551
